year,dept_code,macrosector,value
2005,25,SERVICIOS,1405.26
2005,94,SERVICIOS,8.52
2005,95,SERVICIOS,24.64
2005,41,SERVICIOS,511.59
2005,44,SERVICIOS,255.79
2005,47,SERVICIOS,505.38
2005,50,SERVICIOS,570.85
2005,52,SERVICIOS,744.01
2005,54,SERVICIOS,795.3
2005,86,SERVICIOS,103.62
2005,63,SERVICIOS,498.41
2005,66,SERVICIOS,613.39
2005,88,SERVICIOS,34.62
2005,68,SERVICIOS,2654.73
2005,70,SERVICIOS,278.05
2005,73,SERVICIOS,721.18
2005,76,SERVICIOS,7389.51
2005,97,SERVICIOS,8.62
2005,99,SERVICIOS,17.52
2005,91,SERVICIOS,2.35
2005,05,SERVICIOS,6037.12
2005,81,SERVICIOS,13.33
2005,08,SERVICIOS,1749.54
2005,11,SERVICIOS,12203.57
2005,13,SERVICIOS,1372.94
2005,15,SERVICIOS,538.9
2005,17,SERVICIOS,962.79
2005,18,SERVICIOS,118.4
2005,85,SERVICIOS,84.72
2005,19,SERVICIOS,719.18
2005,20,SERVICIOS,324.27
2005,27,SERVICIOS,1.18
2005,23,SERVICIOS,771.8
2005,25,SERVICIOS,1681.89
2005,94,SERVICIOS,1.0
2005,95,SERVICIOS,2.35
2005,41,SERVICIOS,358.94
2005,44,SERVICIOS,11.77
2005,47,SERVICIOS,264.1
2005,50,SERVICIOS,463.42
2005,52,SERVICIOS,291.2
2005,54,SERVICIOS,288.87
2005,86,SERVICIOS,22.32
2005,63,SERVICIOS,181.61
2005,66,SERVICIOS,774.07
2005,88,SERVICIOS,21.85
2005,68,SERVICIOS,1453.13
2005,70,SERVICIOS,102.72
2005,73,SERVICIOS,579.39
2005,76,SERVICIOS,4859.9
2005,97,SERVICIOS,5.88
2005,99,SERVICIOS,1.18
2005,91,SERVICIOS,130.28
2005,05,SERVICIOS,8055.06
2005,81,SERVICIOS,430.35
2005,08,SERVICIOS,3213.83
2005,11,SERVICIOS,19823.16
2005,13,SERVICIOS,3213.09
2005,15,SERVICIOS,1872.93
2005,17,SERVICIOS,1396.31
2005,18,SERVICIOS,610.2
2005,85,SERVICIOS,566.24
2005,19,SERVICIOS,1572.13
2005,20,SERVICIOS,1361.37
2005,27,SERVICIOS,723.12
2005,23,SERVICIOS,2196.96
2005,25,SERVICIOS,3376.46
2005,94,SERVICIOS,66.88
2005,95,SERVICIOS,170.75
2005,41,SERVICIOS,1434.83
2005,44,SERVICIOS,915.78
2005,47,SERVICIOS,1580.8
2005,50,SERVICIOS,1325.48
2005,52,SERVICIOS,1763.12
2005,54,SERVICIOS,1645.83
2005,86,SERVICIOS,377.24
2005,63,SERVICIOS,708.91
2005,66,SERVICIOS,1354.96
2005,88,SERVICIOS,124.99
2005,68,SERVICIOS,3234.35
2005,70,SERVICIOS,1115.03
2005,73,SERVICIOS,1721.85
2005,76,SERVICIOS,6206.83
2005,97,SERVICIOS,60.37
2005,99,SERVICIOS,128.2
2005,91,SERVICIOS,5.97
2005,70,CONSTRUCCIÓN,69.2
2005,73,CONSTRUCCIÓN,267.68
2005,05,SERVICIOS,1644.77
2005,81,SERVICIOS,15.66
2005,08,SERVICIOS,600.72
2005,11,SERVICIOS,5540.37
2005,13,SERVICIOS,269.8
2005,15,SERVICIOS,132.2
2005,17,SERVICIOS,215.27
2005,18,SERVICIOS,43.17
2005,85,SERVICIOS,33.9
2005,19,SERVICIOS,110.95
2005,20,SERVICIOS,105.46
2005,27,SERVICIOS,32.74
2005,23,SERVICIOS,180.9
2005,25,SERVICIOS,376.15
2005,94,SERVICIOS,3.1
2005,95,SERVICIOS,7.8
2005,41,SERVICIOS,232.1
2005,44,SERVICIOS,80.32
2005,47,SERVICIOS,197.57
2005,50,SERVICIOS,121.52
2005,52,SERVICIOS,214.13
2005,54,SERVICIOS,328.92
2005,86,SERVICIOS,25.12
2005,63,SERVICIOS,115.28
2005,66,SERVICIOS,269.76
2005,88,SERVICIOS,5.17
2005,68,SERVICIOS,465.99
2005,70,SERVICIOS,114.0
2005,73,SERVICIOS,221.35
2005,76,SERVICIOS,1090.58
2005,97,SERVICIOS,1.74
2005,99,SERVICIOS,3.09
2005,91,SERVICIOS,14.96
2005,05,SERVICIOS,6142.98
2005,81,SERVICIOS,70.88
2005,08,SERVICIOS,1950.38
2005,11,SERVICIOS,12182.67
2005,13,SERVICIOS,1793.44
2005,15,SERVICIOS,809.81
2005,17,SERVICIOS,743.73
2005,18,SERVICIOS,99.97
2005,85,SERVICIOS,228.85
2005,19,SERVICIOS,648.29
2005,20,SERVICIOS,337.66
2005,27,SERVICIOS,60.37
2005,23,SERVICIOS,506.86
2005,25,SERVICIOS,2263.43
2005,94,SERVICIOS,6.67
2005,95,SERVICIOS,12.56
2005,41,SERVICIOS,470.94
2005,44,SERVICIOS,160.59
2005,47,SERVICIOS,252.55
2005,50,SERVICIOS,648.62
2005,52,SERVICIOS,385.57
2005,54,SERVICIOS,414.4
2005,86,SERVICIOS,64.38
2005,63,SERVICIOS,235.46
2005,66,SERVICIOS,653.38
2005,88,SERVICIOS,73.09
2005,68,SERVICIOS,5806.75
2005,70,SERVICIOS,205.13
2005,73,SERVICIOS,698.03
2005,76,SERVICIOS,4010.2
2005,97,SERVICIOS,3.0
2005,99,SERVICIOS,9.5
2005,91,AGROPECUARIO,41.92
2005,05,AGROPECUARIO,3481.47
2005,81,AGROPECUARIO,399.25
2005,08,AGROPECUARIO,372.3
2005,11,AGROPECUARIO,8.74
2005,13,AGROPECUARIO,776.54
2005,15,AGROPECUARIO,1010.27
2005,17,AGROPECUARIO,710.67
2005,18,AGROPECUARIO,290.46
2005,85,AGROPECUARIO,445.17
2005,19,AGROPECUARIO,746.6
2005,20,AGROPECUARIO,884.34
2005,27,AGROPECUARIO,315.41
2005,23,AGROPECUARIO,862.97
2005,25,AGROPECUARIO,3173.05
2005,94,AGROPECUARIO,6.99
2005,95,AGROPECUARIO,97.67
2005,41,AGROPECUARIO,1012.1
2005,44,AGROPECUARIO,282.47
2005,47,AGROPECUARIO,922.27
2005,50,AGROPECUARIO,978.17
2005,52,AGROPECUARIO,939.24
2005,54,AGROPECUARIO,744.6
2005,86,AGROPECUARIO,98.81
2005,63,AGROPECUARIO,452.15
2005,66,AGROPECUARIO,585.9
2005,88,AGROPECUARIO,8.98
2005,68,AGROPECUARIO,1745.73
2005,70,AGROPECUARIO,334.27
2005,73,AGROPECUARIO,1434.31
2005,76,AGROPECUARIO,2136.99
2005,97,AGROPECUARIO,5.69
2005,99,AGROPECUARIO,133.51
2005,91,MINERO,0.81
2005,05,MINERO,1358.64
2005,81,MINERO,2395.3
2005,08,MINERO,39.16
2005,11,MINERO,267.59
2005,13,MINERO,364.41
2005,15,MINERO,374.2
2005,17,MINERO,67.44
2005,18,MINERO,2.18
2005,85,MINERO,5292.07
2005,19,MINERO,45.69
2005,20,MINERO,2464.92
2005,27,MINERO,128.36
2005,23,MINERO,287.32
2005,25,MINERO,233.87
2005,94,MINERO,23.93
2005,95,MINERO,2.18
2005,41,MINERO,1331.45
2005,44,MINERO,2516.04
2005,47,MINERO,15.23
2005,50,MINERO,2520.4
2005,52,MINERO,30.46
2005,54,MINERO,214.29
2005,86,MINERO,289.35
2005,63,MINERO,11.97
2005,66,MINERO,42.42
2005,88,MINERO,1.09
2005,68,MINERO,598.28
2005,70,MINERO,10.88
2005,73,MINERO,1032.31
2005,76,MINERO,107.69
2005,97,MINERO,1.06
2005,99,MINERO,0.03
2005,91,MANUFACTURA,5.36
2005,05,MANUFACTURA,12389.95
2005,81,MANUFACTURA,57.9
2005,08,MANUFACTURA,2579.75
2005,11,MANUFACTURA,12153.55
2005,13,MANUFACTURA,2047.21
2005,15,MANUFACTURA,1374.58
2005,17,MANUFACTURA,1071.14
2005,18,MANUFACTURA,69.69
2005,85,MANUFACTURA,158.69
2005,19,MANUFACTURA,894.23
2005,20,MANUFACTURA,279.85
2005,27,MANUFACTURA,22.52
2005,23,MANUFACTURA,995.43
2005,25,MANUFACTURA,5109.85
2005,94,MANUFACTURA,3.22
2005,95,MANUFACTURA,8.58
2005,41,MANUFACTURA,325.95
2005,44,MANUFACTURA,41.82
2005,47,MANUFACTURA,312.01
2005,50,MANUFACTURA,476.06
2005,52,MANUFACTURA,359.19
2005,54,MANUFACTURA,453.55
2005,86,MANUFACTURA,25.73
2005,63,MANUFACTURA,218.73
2005,66,MANUFACTURA,850.27
2005,88,MANUFACTURA,9.65
2005,68,MANUFACTURA,3436.24
2005,70,MANUFACTURA,251.97
2005,73,MANUFACTURA,799.87
2005,76,MANUFACTURA,7257.69
2005,97,MANUFACTURA,0.4
2005,99,MANUFACTURA,2.36
2005,76,CONSTRUCCIÓN,1251.71
2005,91,CONSTRUCCIÓN,3.11
2005,05,CONSTRUCCIÓN,2525.48
2005,81,CONSTRUCCIÓN,40.3
2005,08,CONSTRUCCIÓN,369.58
2005,11,CONSTRUCCIÓN,4728.53
2005,13,CONSTRUCCIÓN,362.74
2005,15,CONSTRUCCIÓN,250.95
2005,17,CONSTRUCCIÓN,223.57
2005,18,CONSTRUCCIÓN,40.3
2005,85,CONSTRUCCIÓN,171.86
2005,19,CONSTRUCCIÓN,130.04
2005,20,CONSTRUCCIÓN,138.4
2005,27,CONSTRUCCIÓN,41.06
2005,23,CONSTRUCCIÓN,269.16
2005,25,CONSTRUCCIÓN,282.13
2005,94,CONSTRUCCIÓN,10.94
2005,95,CONSTRUCCIÓN,21.29
2005,41,CONSTRUCCIÓN,419.01
2005,44,CONSTRUCCIÓN,75.29
2005,47,CONSTRUCCIÓN,200.0
2005,50,CONSTRUCCIÓN,346.01
2005,52,CONSTRUCCIÓN,291.26
2005,54,CONSTRUCCIÓN,136.12
2005,86,CONSTRUCCIÓN,43.2
2005,63,CONSTRUCCIÓN,127.76
2005,66,CONSTRUCCIÓN,422.81
2005,88,CONSTRUCCIÓN,6.84
2005,91,SERVICIOS,57.47
2005,05,SERVICIOS,7604.55
2005,81,SERVICIOS,205.37
2005,08,SERVICIOS,2881.39
2005,11,SERVICIOS,15628.17
2005,13,SERVICIOS,2021.01
2005,15,SERVICIOS,1596.45
2005,17,SERVICIOS,941.25
2005,18,SERVICIOS,214.49
