nit,razon_social,macrosector_calc,region_calc,ingresos,ganancias,Prediccion_Margen,Ganancia_Proyectada_Mils
900399076,INVERSIONES EYSAENCA COLOMBIA SAS,PROFESIONAL,Andina,2,0.0,0.0686395373768611,0.1372790747537222
900399153,CRISLOZA SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900399273,CONSTRUCTORA HABITAT DEL ORIENTE SAS,CONSTRUCCION,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900397327,CHAID NEME HOLDING S.A.S.,FINANCIERO,Andina,3,0.7926829268292683,0.16956912449970168,0.508707373499105
900046727,CARBOCOKING LTDA,MINERO,Andina,4,0.0,0.02819719747418877,0.11278878989675507
900396749,ESP ENERGY GROUP SAS,MINERO,Andina,3,0.0,0.026626007069356923,0.07987802120807078
890403753,DISTRIBUIDORA COLOMBIA LTDA,COMERCIO,Caribe,2,0.0,0.0002806900773449824,0.0005613801546899648
900036505,TRADE SERVICE GROUP INC,TRANSPORTE,Andina,2,0.0,0.0024920949808746795,0.004984189961749359
900045818,CONTINENTAL DE MATERIALES SA,COMERCIO,Caribe,2,0.0,0.0002806900773449824,0.0005613801546899648
900401745,ALISERVICIOS SAS,ALIMENTICIO,Pacifico,2,0.0,0.014500721810708259,0.029001443621416517
900396868,KONFIRMA S.A.S,TIC,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
890403628,CIMACO SAS,MINERO,Caribe,2,0.0,0.014500721810708259,0.029001443621416517
900228307,TECNOVALVULAS S.A.S,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900046908,INFRAESTRUCTURA CELULAR COLOMBIANA S.A - ESP,TIC,Andina,8,0.39634146341463417,0.04458418717521332,0.35667349740170656
890403530,MARTINEZ CABALLERO SAS,CONSTRUCCION,Caribe,3,0.0,0.0010811313907591478,0.0032433941722774433
900088010,AGT PTY COLOMBIA SAS,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
